[190/10000] loss=0.29792340235587944 loss_test=0.3589714048442237 acc=0.8696
[191/10000] loss=0.29790004459826097 loss_test=0.35895202275360755 acc=0.8695
[192/10000] loss=0.297876781038629 loss_test=0.35893270469553207 acc=0.8695
[193/10000] loss=0.29785357170643656 loss_test=0.35891345157735366 acc=0.8695
[194/10000] loss=0.29783041159996393 loss_test=0.35889425570611494 acc=0.8696
[195/10000] loss=0.2978073501147745 loss_test=0.3588751162607091 acc=0.8696
[196/10000] loss=0.29778429726018435 loss_test=0.3588560346488087 acc=0.8696
[197/10000] loss=0.2977613284351187 loss_test=0.35883699905095245 acc=0.8696
[198/10000] loss=0.2977384090858298 loss_test=0.35881802181791533 acc=0.8696
[199/10000] loss=0.297715538400869 loss_test=0.3587990868778876 acc=0.8696
[200/10000] loss=0.29769273133581303 loss_test=0.358780210763327 acc=0.8698
[201/10000] loss=0.2976700031184122 loss_test=0.35876138136997626 acc=0.8699
[202/10000] loss=0.2976473347612871 loss_test=0.35874261797242346 acc=0.8699
[203/10000] loss=0.29762465883469946 loss_test=0.35872388920104314 acc=0.8699
[204/10000] loss=0.29760211463338637 loss_test=0.358705179745448 acc=0.8699
[205/10000] loss=0.2975795777191242 loss_test=0.35868652475244966 acc=0.8699
[206/10000] loss=0.2975571178678167 loss_test=0.358667914751335 acc=0.8699
[207/10000] loss=0.2975346933724837 loss_test=0.3586493405014295 acc=0.8699
[208/10000] loss=0.29751233300109214 loss_test=0.35863080536027625 acc=0.8699
[209/10000] loss=0.29749000544071974 loss_test=0.358612336959447 acc=0.8699
[210/10000] loss=0.29746775615464943 loss_test=0.3585939243905068 acc=0.8699
[211/10000] loss=0.2974455505038148 loss_test=0.35857553496366174 acc=0.8699
[212/10000] loss=0.2974233832296506 loss_test=0.35855719452714013 acc=0.8699
[213/10000] loss=0.29740124978266536 loss_test=0.35853890417144646 acc=0.8699
[214/10000] loss=0.2973791890338764 loss_test=0.3585206757103828 acc=0.87
[215/10000] loss=0.297357189752893 loss_test=0.3585025234767445 acc=0.87
[216/10000] loss=0.29733516876430405 loss_test=0.35848440610975524 acc=0.87
[217/10000] loss=0.2973132487526933 loss_test=0.35846635033271207 acc=0.87
[218/10000] loss=0.2972913461329691 loss_test=0.358448324313382 acc=0.8701
[219/10000] loss=0.2972695099838925 loss_test=0.35843035460873596 acc=0.8702
[220/10000] loss=0.2972477363570515 loss_test=0.3584124195239869 acc=0.8702
[221/10000] loss=0.29722597018795766 loss_test=0.35839452502478997 acc=0.8702
[222/10000] loss=0.29720429604264803 loss_test=0.35837668391046323 acc=0.8702
[223/10000] loss=0.2971826933902142 loss_test=0.35835887728548294 acc=0.8702
[224/10000] loss=0.2971611071393263 loss_test=0.35834110702778926 acc=0.8702
[225/10000] loss=0.29713963254653836 loss_test=0.3583233687389291 acc=0.8702
[226/10000] loss=0.2971182066990192 loss_test=0.3583056965970162 acc=0.8702
[227/10000] loss=0.2970968140575651 loss_test=0.3582880677147599 acc=0.8702
[228/10000] loss=0.29707547028635634 loss_test=0.3582704636379379 acc=0.8702
[229/10000] loss=0.29705417608056794 loss_test=0.3582528877783336 acc=0.8702
[230/10000] loss=0.2970328858114738 loss_test=0.35823531530522734 acc=0.8702
[231/10000] loss=0.2970116248287165 loss_test=0.3582177699786067 acc=0.8702
[232/10000] loss=0.29699043087111543 loss_test=0.35820024845320625 acc=0.8702
[233/10000] loss=0.29696925663488327 loss_test=0.35818278671883175 acc=0.8703
[234/10000] loss=0.2969481525372351 loss_test=0.35816536612886285 acc=0.8703
[235/10000] loss=0.2969270769007095 loss_test=0.35814796307868585 acc=0.8704
[236/10000] loss=0.29690604468136794 loss_test=0.3581305924751289 acc=0.8704
[237/10000] loss=0.2968850734995788 loss_test=0.35811327801462295 acc=0.8704
[238/10000] loss=0.29686417232634976 loss_test=0.35809605794150573 acc=0.8704
[239/10000] loss=0.29684329360300055 loss_test=0.3580788852616077 acc=0.8704
[240/10000] loss=0.2968224743923554 loss_test=0.35806175012815045 acc=0.8704
